,0,1,2,3,4,5
0,11253,0,0,0,0,0
1,0,11533,0,0,0,0
2,0,0,11301,0,1,26
3,0,0,0,11297,0,0
4,0,0,0,0,11428,0
5,0,0,5,0,0,11294
